x,y,ref,rmse_ref,variance_ref,variable,value,rmse,variance
4350537.5,4093687.5,312.58135890268176,0.0,0.0,sensor_hq,312.58135890268176,0.0,0.0
4342637.5,4099012.5,396.1484978601473,0.0,0.0,sensor_hq,396.1484978601473,0.0,0.0
4354212.5,4094937.5,172.22045538906082,0.0,0.0,sensor_hq,172.22045538906082,0.0,0.0
4348937.5,4097762.5,337.9564877333477,0.0,0.0,sensor_hq,337.9564877333477,0.0,0.0
4343112.5,4094662.5,302.1048606364365,0.0,0.0,sensor_hq,302.1048606364365,0.0,0.0
4355162.5,4097837.5,171.62586322517802,0.0,0.0,sensor_hq,171.62586322517802,0.0,0.0
4354337.5,4096812.5,216.9572616017165,0.0,0.0,sensor_hq,216.9572616017165,0.0,0.0
4344412.5,4092162.5,340.43967128324977,0.0,0.0,sensor_hq,340.43967128324977,0.0,0.0
4354512.5,4091062.5,80.29385556516061,0.0,0.0,sensor_hq,80.29385556516061,0.0,0.0
4345287.5,4088862.5,203.4556814918659,0.0,0.0,sensor_hq,203.4556814918659,0.0,0.0
4354837.5,4096362.5,245.5549622709804,0.0,0.0,sensor_hq,245.5549622709804,0.0,0.0
4347637.5,4096987.5,161.1579236577845,0.0,0.0,sensor_hq,161.1579236577845,0.0,0.0
4348087.5,4094262.5,163.28829847765007,0.0,0.0,sensor_hq,163.28829847765007,0.0,0.0
4351937.5,4097312.5,376.421109931204,0.0,0.0,sensor_hq,376.421109931204,0.0,0.0
4352112.5,4095637.5,232.2607654401868,0.0,0.0,sensor_hq,232.2607654401868,0.0,0.0
4344337.5,4092087.5,330.4753069190448,0.0,0.0,sensor_hq,330.4753069190448,0.0,0.0
4345362.5,4096437.5,355.56511025115725,0.0,0.0,sensor_hq,355.56511025115725,0.0,0.0
4353212.5,4098987.5,372.09000633742073,0.0,0.0,sensor_hq,372.09000633742073,0.0,0.0
4347537.5,4095362.5,178.41785481411662,0.0,0.0,sensor_hq,178.41785481411662,0.0,0.0
4343287.5,4097737.5,312.50025164373216,0.0,0.0,sensor_hq,312.50025164373216,0.0,0.0
4353987.5,4098437.5,295.22694850299973,0.0,0.0,sensor_hq,295.22694850299973,0.0,0.0
4347012.5,4087212.5,115.17260410942605,0.0,0.0,sensor_hq,115.17260410942605,0.0,0.0
4353587.5,4086112.5,0.6217186075516005,0.0,0.0,sensor_hq,0.6217186075516005,0.0,0.0
4348087.5,4093062.5,266.5535286124035,0.0,0.0,sensor_hq,266.5535286124035,0.0,0.0
4342562.5,4085562.5,356.4256335476492,0.0,0.0,sensor_hq,356.4256335476492,0.0,0.0
4355062.5,4090662.5,58.04503021986627,0.0,0.0,sensor_hq,58.04503021986627,0.0,0.0
4354537.5,4089762.5,41.54811400789495,0.0,0.0,sensor_hq,41.54811400789495,0.0,0.0
4349162.5,4095687.5,202.28301265448576,0.0,0.0,sensor_hq,202.28301265448576,0.0,0.0
4346712.5,4098612.5,254.4845778441965,0.0,0.0,sensor_hq,254.4845778441965,0.0,0.0
4344312.5,4092987.5,154.96440993535916,0.0,0.0,sensor_hq,154.96440993535916,0.0,0.0
4342262.5,4097212.5,329.3949532883612,0.0,0.0,sensor_hq,329.3949532883612,0.0,0.0
4342487.5,4087912.5,310.32338010862827,0.0,0.0,sensor_hq,310.32338010862827,0.0,0.0
4347887.5,4087537.5,146.9333906189073,0.0,0.0,sensor_hq,146.9333906189073,0.0,0.0
4342687.5,4091662.5,375.3769496790558,0.0,0.0,sensor_hq,375.3769496790558,0.0,0.0
4348412.5,4095187.5,122.72275366741012,0.0,0.0,sensor_hq,122.72275366741012,0.0,0.0
4351187.5,4097012.5,391.7977703842179,0.0,0.0,sensor_hq,391.7977703842179,0.0,0.0
4345712.5,4086887.5,167.60263051449317,0.0,0.0,sensor_hq,167.60263051449317,0.0,0.0
4349037.5,4095837.5,223.1853930050073,0.0,0.0,sensor_hq,223.1853930050073,0.0,0.0
4352462.5,4087937.5,28.164579277408663,0.0,0.0,sensor_hq,28.164579277408663,0.0,0.0
4354387.5,4093762.5,165.37909607054402,0.0,0.0,sensor_hq,165.37909607054402,0.0,0.0
4343237.5,4096012.5,254.56331732661025,0.0,0.0,sensor_hq,254.56331732661025,0.0,0.0
4343312.5,4089162.5,426.6601555115841,0.0,0.0,sensor_hq,426.6601555115841,0.0,0.0
4347287.5,4096512.5,163.4709040234645,0.0,0.0,sensor_hq,163.4709040234645,0.0,0.0
4343387.5,4090137.5,407.46184851325256,0.0,0.0,sensor_hq,407.46184851325256,0.0,0.0
