x,y,truth,sensor_hq,sensor_mq,sensor_lq,agg_truth,pixel_hq,pixel_mq,pixel_lq
4342712.5,4096112.5,335.5203857421875,336.2573956419829,339.6507371382295,492.0719753585272,334.7726745605469,338.7879333496094,338.6091613769531,357.1334533691406
4352562.5,4092937.5,109.14371490478516,113.04827599550738,92.30679109001876,106.81454506269408,346.3593139648437,337.56951904296875,344.85845947265625,332.4734802246094
4352062.5,4090712.5,92.94375610351562,92.1404659418221,104.089014631317,77.85355386577348,386.8229675292969,392.1793518066406,434.92279052734375,351.88629150390625
4346337.5,4089612.5,114.01399993896484,115.74587027842416,123.68058522087816,148.06209219185484,270.2799987792969,267.1675720214844,311.5506896972656,239.2464904785156
4350137.5,4089062.5,78.00350189208984,80.12613334399266,78.17731104699682,69.39834031060911,443.4176025390625,433.3451232910156,422.0183410644531,586.74169921875
4352137.5,4093037.5,212.3889923095703,212.85102031265183,232.2395049048263,207.6213296567583,386.8229675292969,392.1793518066406,434.92279052734375,351.88629150390625
4343062.5,4098662.5,359.5382995605469,367.2449191391339,422.4991604489496,426.2555208392703,371.9593505859375,377.6243896484375,408.5221862792969,304.8529663085937
4342187.5,4098337.5,300.7987976074219,299.92944961365794,329.5295276478109,274.3668548521163,263.8254699707031,267.0673217773437,254.5451812744141,198.0984039306641
4354087.5,4089687.5,43.89472961425781,42.80892847967856,45.05114500249545,45.82357396378255,306.490966796875,290.72467041015625,345.4787292480469,369.0600280761719
4348962.5,4094912.5,122.94548034667967,125.61425342070254,115.0399009186583,144.74273305147037,381.6365966796875,380.28802490234375,387.2457885742188,296.40777587890625
4348462.5,4094512.5,140.5927734375,142.2612081527299,140.42064697195002,142.77042382483347,317.5165100097656,313.7133483886719,318.55645751953125,319.41473388671875
4352912.5,4089762.5,58.29217147827149,60.93429746020034,68.84560689657502,40.24426217765961,346.0910949707031,354.0340576171875,351.76934814453125,139.04974365234375
4350312.5,4091587.5,299.990234375,293.96348740658465,292.2480677779353,266.1878339374252,443.4176025390625,433.3451232910156,422.0183410644531,586.74169921875
4353112.5,4092787.5,107.24685668945312,106.93423774846832,89.3570004808663,136.29613315818534,346.0910949707031,354.0340576171875,351.76934814453125,139.04974365234375
4351362.5,4096162.5,318.4329528808594,306.53291013234013,361.6172887833796,423.3613484618045,418.5350646972656,423.2973327636719,401.34417724609375,470.5167541503906
4344162.5,4098412.5,320.3534545898437,322.89113578575746,295.21917764038665,277.566044665763,306.9895324707031,316.9093017578125,295.8344421386719,351.7964782714844
4354812.5,4092312.5,106.08214569091795,105.18538079162563,109.94414485186196,135.90254158441522,261.6900939941406,265.8852233886719,257.5369873046875,150.7205352783203
4349987.5,4092087.5,352.03155517578125,353.0556496810097,352.58245316473693,471.14858853427984,387.3005676269531,381.6373596191406,322.7728271484375,559.941162109375
4352287.5,4089737.5,34.37767791748047,35.403442312240706,34.43444751745106,22.832979756037865,386.8229675292969,392.1793518066406,434.92279052734375,351.88629150390625
4350487.5,4085387.5,20.399999618530277,21.97886940467893,25.52347358835913,25.53427385852928,449.9760437011719,451.2066040039063,445.21337890625,345.3218078613281
4343687.5,4097937.5,338.229248046875,345.9576040926028,351.6611246482675,421.1834614042651,358.2557983398437,367.86236572265625,356.6420288085937,477.4631042480469
4344237.5,4098187.5,305.55078125,309.4129865031137,311.13852268136463,485.29703441587,286.2887268066406,287.6746520996094,267.5277709960937,413.56060791015625
4342312.5,4095737.5,386.1431579589844,382.535769287687,323.38844214604006,473.80303833075743,334.7726745605469,338.7879333496094,338.6091613769531,357.1334533691406
4345037.5,4088887.5,283.8080444335937,289.76048650866403,272.8072278914432,193.21155783335968,239.0446929931641,238.97071838378903,256.04620361328125,164.620361328125
4347237.5,4086212.5,98.71156311035156,99.04775200001896,68.24850398459408,70.7384484721971,227.4427032470703,231.1383056640625,265.5809326171875,276.4811706542969
4350112.5,4096987.5,281.9127197265625,275.0184364774593,288.924655300078,258.30543178429747,443.4176025390625,433.3451232910156,422.0183410644531,586.74169921875
4353462.5,4092312.5,96.36832427978516,100.30755762187248,100.77514317852584,88.93578247656848,379.7350158691406,381.589599609375,319.32421875,410.83599853515625
