,x,y,pixel_truth,pixel_hq,pixel_mq,pixel_lq
0,4342037.5,4085012.5,393.16748046875,390.8737487792969,272.6617126464844,391.8023681640625
1,4342520.25862069,4085012.5,388.5696716308594,388.5939636230469,443.0029296875,257.9288635253906
2,4343003.017241379,4085012.5,342.9574279785156,349.1942443847656,344.3931884765625,370.3509216308594
3,4343485.775862069,4085012.5,302.1190490722656,310.4690246582031,294.06158447265625,312.3500061035156
4,4343968.5344827585,4085012.5,229.1475372314453,234.82138061523438,221.208984375,212.16494750976562
5,4344451.293103448,4085012.5,208.15130615234375,212.6883544921875,206.8170623779297,209.9940948486328
6,4344934.051724138,4085012.5,176.54690551757812,176.57293701171875,185.7954559326172,218.44284057617188
7,4345416.810344827,4085012.5,288.4482421875,290.1722412109375,330.72979736328125,226.4381866455078
8,4345899.568965517,4085012.5,320.7720642089844,321.5127258300781,345.7585144042969,379.7619323730469
9,4346382.327586207,4085012.5,230.11032104492188,226.33016967773438,243.21241760253906,402.6578369140625
10,4346865.086206896,4085012.5,75.76023864746094,78.63221740722656,85.56132507324219,102.48983764648438
11,4347347.844827586,4085012.5,32.0726318359375,35.5214958190918,33.99409866333008,40.635135650634766
12,4347830.6034482755,4085012.5,44.630950927734375,45.99650192260742,43.07447814941406,58.46725845336914
13,4348313.362068965,4085012.5,26.436376571655273,28.93191146850586,26.612056732177734,25.822776794433594
14,4348796.120689655,4085012.5,26.840333938598633,27.90793228149414,29.96284294128418,24.058961868286133
15,4349278.879310345,4085012.5,30.6542911529541,33.390953063964844,31.734344482421875,30.562965393066406
16,4349761.637931035,4085012.5,20.502464294433594,20.517908096313477,21.5752010345459,40.93605422973633
17,4350244.3965517245,4085012.5,27.563880920410156,30.431852340698242,30.702173233032227,36.163997650146484
18,4350727.155172414,4085012.5,31.81218910217285,32.208229064941406,37.36103820800781,20.445594787597656
19,4351209.913793104,4085012.5,24.547842025756836,23.28022575378418,24.524921417236328,31.235139846801758
20,4351692.672413793,4085012.5,9.424025535583496,10.979240417480469,11.681198120117188,14.605268478393555
21,4352175.431034483,4085012.5,17.41659164428711,18.071468353271484,14.014579772949219,24.10489273071289
22,4352658.189655173,4085012.5,36.261226654052734,37.906410217285156,36.648258209228516,51.798980712890625
23,4353140.948275862,4085012.5,25.35499382019043,26.636802673339844,18.95882797241211,43.233665466308594
24,4353623.706896552,4085012.5,21.374591827392578,23.04642105102539,22.62094497680664,32.12325668334961
25,4354106.4655172415,4085012.5,8.330045700073242,9.015925407409668,9.882160186767578,30.14928436279297
26,4354589.224137931,4085012.5,0.0,0.0,0.0,0.0
27,4355071.982758621,4085012.5,0.0,0.0,0.0,0.0
28,4355554.74137931,4085012.5,0.0,0.0,0.0,0.0
29,4356037.5,4085012.5,0.0,0.0,0.0,0.0
30,4342037.5,4085013.3620689656,361.8456115722656,364.7672119140625,326.018798828125,286.5361633300781
31,4342520.25862069,4085013.3620689656,362.0856018066406,360.6688232421875,368.2712097167969,412.7814025878906
32,4343003.017241379,4085013.3620689656,331.4033203125,319.26641845703125,279.81292724609375,514.5540771484375
33,4343485.775862069,4085013.3620689656,285.81500244140625,292.0831604003906,259.7337341308594,230.07846069335938
34,4343968.5344827585,4085013.3620689656,244.6682891845703,249.53457641601562,234.0233154296875,303.1014709472656
35,4344451.293103448,4085013.3620689656,240.4214630126953,248.63351440429688,224.73143005371094,92.5867919921875
36,4344934.051724138,4085013.3620689656,211.61758422851562,216.74603271484375,215.41590881347656,278.1402587890625
37,4345416.810344827,4085013.3620689656,271.5023498535156,262.84796142578125,319.1244201660156,379.2093200683594
38,4345899.568965517,4085013.3620689656,289.63531494140625,291.6620178222656,307.4520263671875,305.61297607421875
39,4346382.327586207,4085013.3620689656,241.34075927734375,240.55389404296875,229.57476806640625,235.96824645996094
40,4346865.086206896,4085013.3620689656,108.31755828857422,103.4067153930664,99.51726531982422,102.39187622070312
41,4347347.844827586,4085013.3620689656,51.26648712158203,50.368778228759766,55.00050354003906,52.12114715576172
42,4347830.6034482755,4085013.3620689656,18.823808670043945,19.834341049194336,16.992948532104492,20.617938995361328
43,4348313.362068965,4085013.3620689656,14.411892890930176,14.539255142211914,18.121278762817383,17.598894119262695
44,4348796.120689655,4085013.3620689656,24.877521514892578,24.52122688293457,23.005844116210938,31.75548553466797
45,4349278.879310345,4085013.3620689656,21.320022583007812,20.8901424407959,22.32985496520996,38.42908477783203
46,4349761.637931035,4085013.3620689656,21.76787757873535,24.88448715209961,18.759552001953125,30.22037124633789
47,4350244.3965517245,4085013.3620689656,31.32697868347168,33.10136032104492,30.190465927124023,28.450111389160156
48,4350727.155172414,4085013.3620689656,25.7841796875,28.489723205566406,23.00213623046875,51.18478775024414
49,4351209.913793104,4085013.3620689656,16.5482177734375,17.640623092651367,22.3885498046875,16.935457229614258
50,4351692.672413793,4085013.3620689656,13.33683967590332,15.258716583251953,13.512667655944824,13.48936653137207
51,4352175.431034483,4085013.3620689656,19.483259201049805,19.126691818237305,23.362262725830078,14.849154472351074
52,4352658.189655173,4085013.3620689656,44.406009674072266,48.13167190551758,46.32372283935547,50.750953674316406
53,4353140.948275862,4085013.3620689656,35.81483840942383,37.34817123413086,42.72299575805664,58.69784164428711
54,4353623.706896552,4085013.3620689656,20.02080535888672,21.352312088012695,25.248010635375977,19.47081184387207
55,4354106.4655172415,4085013.3620689656,0.8025510311126709,0.566878616809845,1.6345632076263428,4.494359016418457
56,4354589.224137931,4085013.3620689656,0.0,0.0,0.0,0.0
57,4355071.982758621,4085013.3620689656,0.0,0.0,0.0,0.0
58,4355554.74137931,4085013.3620689656,0.0,0.0,0.0,0.0
59,4356037.5,4085013.3620689656,0.0,0.0,0.0,0.0
60,4342037.5,4085014.224137931,348.2154541015625,342.4767761230469,308.55377197265625,354.3227844238281
61,4342520.25862069,4085014.224137931,369.3570861816406,377.9813232421875,314.75689697265625,488.05621337890625
62,4343003.017241379,4085014.224137931,353.8337097167969,367.8207702636719,316.492919921875,475.4443054199219
63,4343485.775862069,4085014.224137931,294.0971374511719,303.26556396484375,341.0099792480469,261.2044982910156
64,4343968.5344827585,4085014.224137931,267.8359680175781,271.64013671875,333.329345703125,314.0497741699219
65,4344451.293103448,4085014.224137931,269.9952697753906,263.748291015625,237.25926208496094,48.66783142089844
66,4344934.051724138,4085014.224137931,238.1154022216797,237.92050170898438,239.83486938476562,270.740234375
67,4345416.810344827,4085014.224137931,241.8135528564453,241.2750701904297,254.21775817871094,379.32269287109375
68,4345899.568965517,4085014.224137931,233.45590209960938,227.73681640625,216.52919006347656,255.36557006835938
69,4346382.327586207,4085014.224137931,202.06832885742188,203.7657928466797,229.58837890625,232.61033630371094
70,4346865.086206896,4085014.224137931,105.83940887451172,108.58879852294922,118.66232299804688,101.3748779296875
71,4347347.844827586,4085014.224137931,76.85111236572266,75.69874572753906,79.36367797851562,64.47929382324219
72,4347830.6034482755,4085014.224137931,44.64862060546875,47.2934684753418,53.33497619628906,44.2161979675293
73,4348313.362068965,4085014.224137931,23.692934036254883,23.825531005859375,23.891605377197266,41.98762512207031
